index,score,text,empty,index,score,text
343,0.74557066,"If the city had honored ICE’s detainer request, his victim would still be alive today.",,194,0.38356997,"Members of Congress, we must never forget that the only victories that matter in Washington are victories that deliver for the American people."
318,0.72352099,"As we support America’s moms and dads, I was recently proud to sign the law providing new parents in the federal workforce paid family leave, serving as a model for the rest of the country.",,98,0.38193348,"Thanks to our bold regulatory reduction campaign, the United States has become the number one producer of oil and natural gas anywhere in the world, by far."
236,0.72034091,I’ve also made an ironclad pledge to American families: We will always protect patients with pre-existing conditions.,,132,0.38068166,"Now we have changed that, but, at the same time, we have perhaps the best relationship we’ve ever had with China, including with President Xi."
353,0.70324987,"One of the victims is — a terrible, terrible situation; died — 51-year-old American named Rocky Jones.",,178,0.3806405,"As Iain says, “Most people look up at space."
495,0.68834889,"This is the home of Abraham Lincoln, Frederick Douglass, Amelia Earhart, Harriet Tubman, the Wright Brothers, Neil Armstrong, and so many more.",,375,0.37920515,"Very importantly, we entered into historic cooperation agreements with the governments of Mexico, Honduras, El Salvador, and Guatemala."
396,0.67839319,And we have many in the pipeline.,,186,0.37809645,"On December 7th, Charles celebrated his 100th birthday."
89,0.6732251,"He is now a top tradesman, drug-free, reunited with his family, and he is here tonight.",,141,0.3775795,"The United States is leading a 59-nation diplomatic coalition against the socialist dictator of Venezuela, Nicolás Maduro."
118,0.65483624,"Six days ago, I replaced NAFTA and signed the brand-new U.S.-Mexico-Canada Agreement into law.",,102,0.37756879,We are doing numbers that no one would have thought possible just three years ago.
5,0.65233999,"Jobs are booming, incomes are soaring, poverty is plummeting, crime is falling, confidence is surging, and our country is thriving and highly respected again.",,254,0.37728932,"Their systems are totally out of control, costing taxpayers vast and unaffordable amounts of money."
21,0.57125372,Our values are renewed.,,20,0.37417701,Our families are flourishing.
103,0.50650734,"Likewise, we are restoring our nation’s manufacturing might, even though predictions were, as you all know, that this could never, ever be done.",,363,0.37334427,I ask Congress to pass the Justice for Victims of Sanctuary Cities Act immediately.
470,0.48552072,"I am not looking to kill hundreds of thousands of people in Afghanistan, many of them totally innocent.",,146,0.37303972,"Joining us in the Gallery is the true and legitimate President of Venezuela, Juan Guaidó."
102,0.46597615,We are doing numbers that no one would have thought possible just three years ago.,,18,0.37124681,"Our military is completely rebuilt, with its power being unmatched anywhere in the world — and it’s not even close."
193,0.46096098,"From the pilgrims to the Founders, from the soldiers at Valley Forge to the marchers at Selma, and from President Lincoln to the Reverend Martin Luther King, Americans have always rejected limits on our children’s future.",,396,0.37028278,And we have many in the pipeline.
500,0.45809427,"And, ladies and gentlemen, our ancestors built the most exceptional republic ever to exist in all of human history, and we are making it greater than ever before.",,515,0.36935127,Our grandest journeys are not yet made.
315,0.42659116,That is why I’m also calling upon members of Congress here tonight to pass legislation finally banning the late-term abortion of babies.,,275,0.3673257,"With unyielding commitment, we are curbing the opioid epidemic."
87,0.41475996,He was homeless.,,351,0.36458022,He walked into a convenience store and wildly fired his weapon.
498,0.41184416,"The American nation was carved out of the vast frontier by the toughest, strongest, fiercest, and most determined men and women ever to walk on the face of the Earth.",,244,0.36395677,"Many experts believe that transparency, which will go into full effect at the beginning of next year, will be even bigger than healthcare reform."
18,0.4095301,"Our military is completely rebuilt, with its power being unmatched anywhere in the world — and it’s not even close.",,410,0.36387778,I am asking Congress to fully fund the Artemis program to ensure that the next man and the first woman on the Moon will be American astronauts — (applause) — using this as a launching pad to ensure that America is the first nation to plant its flag on Mars.
85,0.40342048,"Opportunity Zones are helping Americans like Army veteran Tony Rankins from Cincinnati, Ohio.",,23,0.3633118,"And for all of these reasons, I say to the people of our great country and to the members of Congress: The state of our Union is stronger than ever before."
106,0.40317521,Companies are not leaving; they are coming back to the USA.,,320,0.36255748,"Now I call on the Congress to pass the bipartisan Advancing Support for Working Families Act, extending family leave to mothers and fathers all across our nation."
114,0.40168858,"Many politicians came and went, pledging to change or replace NAFTA, only to do so, and then absolutely nothing happened.",,476,0.36198491,Amy works full-time and volunteers countless hours helping other military families.
477,0.35020518,"For the past seven months, she has done it all while her husband, Sergeant First Class Townsend Williams, is in Afghanistan on his fourth deployment in the Middle East.",,287,0.36169252,"Here tonight is a special man, beloved by millions of Americans who just received a Stage 4 advanced cancer diagnosis."
116,0.34165302,We did our job.,,412,0.36149327,My administration is also strongly defending our national security and combating radical Islamic terrorism.
12,0.33010975,"Gone too are the broken promises, jobless recoveries, tired platitudes, and constant excuses for the depletion of American wealth, power, and prestige.",,381,0.35955987,"Days ago, Agent Ortiz was promoted to Deputy Chief of Border Patrol, and he joins us tonight."
138,0.29617414,That’s why my administration reversed the failing policies of the previous administration on Cuba.,,368,0.35927661,My administration has undertaken an unprecedented effort to secure the southern border of the United States.
393,0.28637308,"This includes two brilliant new Supreme Court justices, Neil Gorsuch and Brett Kavanaugh.",,500,0.35859158,"And, ladies and gentlemen, our ancestors built the most exceptional republic ever to exist in all of human history, and we are making it greater than ever before."
13,0.27351364,"In just three short years, we have shattered the mentality of American decline, and we have rejected the downsizing of America’s destiny.",,242,0.3584564,That is why I signed an executive order requiring price transparency.
244,0.26930887,"Many experts believe that transparency, which will go into full effect at the beginning of next year, will be even bigger than healthcare reform.",,461,0.35792936,"Because of our powerful sanctions, the Iranian economy is doing very, very poorly."
388,0.26912946,"To build on these historic gains, we are working on legislation to replace our outdated and randomized immigration system with one based on merit, welcoming those who follow the rules, contribute to our economy, support themselves financially, and uphold our values.",,255,0.35721541,"If forcing American taxpayers to provide unlimited free healthcare to illegal aliens sounds fair to you, then stand with the radical left."
468,0.25345626,"As we defend American lives, we are working to end America’s wars in the Middle East.",,296,0.35710378,(The Medal of Freedom is presented.)
132,0.25010133,"Now we have changed that, but, at the same time, we have perhaps the best relationship we’ve ever had with China, including with President Xi.",,283,0.356501,"We have launched ambitious new initiatives to substantially improve care for Americans with kidney disease, Alzheimer’s, and those struggling with mental health."
262,0.24399923,My administration is also taking on the big pharmaceutical companies.,,340,0.3546461,"AUDIENCE: Booo —
 
 THE PRESIDENT: In sanctuary cities, local officials order police to release dangerous criminal aliens to prey upon the public, instead of handing them over to ICE to be safely removed."
476,0.2272917,Amy works full-time and volunteers countless hours helping other military families.,,430,0.35349397,"Carl and Marsha, America’s warriors never forgot Kayla — and neither will we."
504,0.1994265,We are pioneers.,,452,0.35225311,He directed the December assault and went on to assault U.S. forces in Iraq.
302,0.1829471,"Born at just 21 weeks and 6 days, and weighing less than a pound, Ellie Schneider was a born fighter.",,241,0.35031147,The American patient should never be blindsided by medical bills.
200,0.18198697,"Yet, for too long, countless American children have been trapped in failing government schools.",,85,0.34998023,"Opportunity Zones are helping Americans like Army veteran Tony Rankins from Cincinnati, Ohio."
284,0.17990793,"And because Congress was so good as to fund my request, new cures for childhood cancer, and we will eradicate the AIDS epidemic in America by the end of this decade.",,114,0.34860795,"Many politicians came and went, pledging to change or replace NAFTA, only to do so, and then absolutely nothing happened."
272,0.17750259,AUDIENCE: H.R.3!,,88,0.34789475,But then Tony found a construction company that invests in Opportunity Zones.
390,0.16245729,"With every action, my administration is restoring the rule of law and reasserting the culture of American freedom.",,226,0.34566604,My budget also contains an exciting vision for our nation’s high schools.
398,0.15508102,"My administration is also defending religious liberty, and that includes the constitutional right to pray in public schools.",,52,0.34398562,The unemployment rate for disabled Americans has reached an all-time low.
216,0.14858657,Now I call on Congress to give one million American children the same opportunity Janiyah has just received.,,435,0.34165805,"On his second deployment to Iraq in 2008, Sergeant Hake wrote a letter to his one-year-old son, Gage: “I will be with you again,” he wrote to Gage."
355,0.14760149,"Rocky left behind a devoted family, including his brothers, who loved him more than anything else in the world.",,38,0.34073933,True.
10,0.14208363,"The days of our country being used, taken advantage of, and even scorned by other nations are long behind us.",,315,0.34014239,That is why I’m also calling upon members of Congress here tonight to pass legislation finally banning the late-term abortion of babies.
189,0.14206612,"And earlier today, I pinned the stars on his shoulders in the Oval Office.",,157,0.33905363,Socialism destroys nations.
356,0.12837575,One of his grieving brothers is here with us tonight.,,262,0.33796554,My administration is also taking on the big pharmaceutical companies.
75,0.11682885,They admire.,,390,0.33774099,"With every action, my administration is restoring the rule of law and reasserting the culture of American freedom."
373,0.10455357,"If you come illegally, you will now be promptly removed from our country.",,280,0.33607944,Protecting Americans’ health also means fighting infectious diseases.
275,0.09077307,"With unyielding commitment, we are curbing the opioid epidemic.",,388,0.33594126,"To build on these historic gains, we are working on legislation to replace our outdated and randomized immigration system with one based on merit, welcoming those who follow the rules, contribute to our economy, support themselves financially, and uphold our values."
427,0.08774929,She was just 26 years old.,,200,0.33585267,"Yet, for too long, countless American children have been trapped in failing government schools."
143,0.08004487,"Maduro is an illegitimate ruler, a tyrant who brutalizes his people.",,516,0.33532304,"The American Age, the American Epic, the American adventure has only just begun."
20,0.07196712,Our families are flourishing.,,256,0.3351276,"But if you believe that we should defend American patients and American seniors, then stand with me and pass legislation to prohibit free government healthcare for illegal aliens."
233,0.0659516,I moved quickly to provide affordable alternatives.,,469,0.33255142,"In Afghanistan, the determination and valor of our warfighters has allowed us to make tremendous progress, and peace talks are now underway."
19,0.06589906,Our borders are secure.,,497,0.33227895,"This is the place where the pilgrims landed at Plymouth and where Texas patriots made their last stand at the Alamo — (applause) — the beautiful, beautiful Alamo."
253,0.06520944,That is what is happening in California and other states.,,268,0.32820813,"I’ve been speaking to Senator Chuck Grassley of Iowa and others in Congress in order to get something on drug pricing done, and done quickly and properly."
420,0.06223265,"After graduating from college, their beautiful daughter Kayla became a humanitarian aid worker.",,181,0.32631333,"Charles McGee was born in Cleveland, Ohio, one century ago."
516,0.06144078,"The American Age, the American Epic, the American adventure has only just begun.",,153,0.32596567,Please take this message back that all Americans are united with the Venezuelan people in their righteous struggle for freedom.
131,0.05572915,"For decades, China has taken advantage of the United States.",,220,0.32580266,"For this reason, our magnificent First Lady has launched the BE BEST initiative to advance a safe, healthy, supportive, and drug-free life for the next generation — online, in school, and in our communities."
487,0.05538642,AUDIENCE: USA!,,247,0.32521943,"But as we work to improve Americans’ healthcare, there are those who want to take away your healthcare, take away your doctor, and abolish private insurance entirely."
503,0.05490373,We are Americans.,,15,0.32462051,"We are moving forward at a pace that was unimaginable just a short time ago, and we are never, ever going back."
464,0.05359433,We are here.,,193,0.32440845,"From the pilgrims to the Founders, from the soldiers at Valley Forge to the marchers at Selma, and from President Lincoln to the Reverend Martin Luther King, Americans have always rejected limits on our children’s future."
513,0.04823107,Our brightest discoveries are not yet known.,,471,0.32431107,It is also not our function to serve other nations as law enforcement agencies.
226,0.04820214,My budget also contains an exciting vision for our nation’s high schools.,,236,0.32346722,I’ve also made an ironclad pledge to American families: We will always protect patients with pre-existing conditions.
269,0.04565893,I’m calling for bipartisan legislation that achieves the goal of dramatically lowering prescription drug prices.,,39,0.32241546,"If we hadn’t reversed the failed economic policies of the previous administration, the world would not now be witnessing this great economic success."
186,0.04486243,"On December 7th, Charles celebrated his 100th birthday.",,174,0.32054102,"Iain, please stand up."
7,0.04289567,"America’s enemies are on the run, America’s fortunes are on the rise, and America’s future is blazing bright.",,25,0.31992419,The vision I will lay out this evening demonstrates how we are building the world’s most prosperous and inclusive society — one where every citizen can join in America’s unparalleled success and where every community can take part in America’s extraordinary rise.
514,0.04260175,Our most thrilling stories are not yet told.,,459,0.31831524,"In recent months, we have seen proud Iranians raise their voices against their oppressive rulers."
515,0.04020993,Our grandest journeys are not yet made.,,121,0.3177797,"It will also bring trade with Mexico and Canada to a much higher level, but also to be a much greater degree of fairness and reciprocity."
461,0.03766265,"Because of our powerful sanctions, the Iranian economy is doing very, very poorly.",,326,0.31653994,"And I sent Congress a plan with a vision to further expand access to high-quality child care, and urge you to act immediately."
273,0.03599839,H.R.3!,,73,0.3164615,This is a record.
274,0.03599839,H.R.3!,,8,0.31575814,The years of economic decay are over.
135,0.03588955,We are rebuilding our country.,,7,0.31412393,"America’s enemies are on the run, America’s fortunes are on the rise, and America’s future is blazing bright."
178,0.03484776,"As Iain says, “Most people look up at space.",,286,0.3125077,Almost every American family knows the pain when a loved one is diagnosed with a serious illness.
168,0.0336771,It’s called the Space Force.,,401,0.31145014,We don’t tear down crosses.
128,0.03078708,Our strategy has worked.,,164,0.30987917,"We are also getting our allies, finally, to help pay their fair share."
38,0.03027955,True.,,349,0.30912133,He viciously shot one man going about his daily work.
157,0.02600852,Socialism destroys nations.,,405,0.30879292,"Just as we believe in the First Amendment, we also believe in another constitutional right that is under siege all across our country."
258,0.02433659,"This will be a tremendous boon to our already very strongly guarded southern border where, as we speak, a long, tall, and very powerful wall is being built.",,456,0.30838512,Our message to the terrorists is clear: You will never escape American justice.
434,0.02339909,One of these American heroes was Army Staff Sergeant Christopher Hake.,,490,0.30831239,"THE PRESIDENT: Welcome home, Sergeant Williams."
175,0.02338393,Iain has always dreamed of going to space.,,371,0.30793751,My administration has ended catch and release.
123,0.02255839,"And I say that, finally, because it’s been many, many years that we were treated fairly on trade.",,12,0.30765447,"Gone too are the broken promises, jobless recoveries, tired platitudes, and constant excuses for the depletion of American wealth, power, and prestige."
164,0.0221224,"We are also getting our allies, finally, to help pay their fair share.",,494,0.30592998,"This is the home of Thomas Edison and Teddy Roosevelt, of many great generals including Washington, Pershing, Patton, and MacArthur."
488,0.02119377,USA!,,468,0.30552942,"As we defend American lives, we are working to end America’s wars in the Middle East."
489,0.02119377,USA!,,348,0.30484458,"Days later, the criminal alien went on a gruesome spree of deadly violence."
442,0.0207641,"Sergeant Hake now rests in eternal glory in Arlington, and his wife Kelli is in the Gallery tonight, joined by their son, who is now a 13-year-old and doing very, very well.",,270,0.30373851,"Get a bill on my desk, and I will sign it into law immediately."
84,0.0191566,It’s all working.,,419,0.30302609,We are joined this evening by Carl and Marsha Mueller.
435,0.01831678,"On his second deployment to Iraq in 2008, Sergeant Hake wrote a letter to his one-year-old son, Gage: “I will be with you again,” he wrote to Gage.",,106,0.30195339,Companies are not leaving; they are coming back to the USA.
112,0.01743776,"In fact, unfair trade is perhaps the single biggest reason that I decided to run for President.",,364,0.30157414,"The United States of America should be a sanctuary for law-abiding Americans, not criminal aliens."
475,0.0169886,"War places a heavy burden on our nation’s extraordinary military families, especially spouses like Amy Williams from Fort Bragg, North Carolina, and her two children — six-year-old Elliana and three-year-old Rowan.",,384,0.30048876,A grateful nation thanks you and all of the heroes of Border Patrol and ICE.
255,0.01668564,"If forcing American taxpayers to provide unlimited free healthcare to illegal aliens sounds fair to you, then stand with the radical left.",,203,0.30043472,"One of those students is Janiyah Davis, a fourth grader from Philadelphia."
267,0.01614961,"And working together, Congress can reduce drug prices substantially from current levels.",,131,0.29853315,"For decades, China has taken advantage of the United States."
173,0.01602456,He’s an eighth grader from Arizona.,,89,0.29844089,"He is now a top tradesman, drug-free, reunited with his family, and he is here tonight."
298,0.01558589,"Rush and Kathryn, congratulations.",,436,0.29739611,"“I will teach you to ride your first bike, build your first sand box, watch you play sports, and see you have kids also."
181,0.0155374,"Charles McGee was born in Cleveland, Ohio, one century ago.",,43,0.2966021,African American youth unemployment has reached an all-time low.
246,0.01414232,It will save families massive amounts of money for substantially better care.,,442,0.2964134,"Sergeant Hake now rests in eternal glory in Arlington, and his wife Kelli is in the Gallery tonight, joined by their son, who is now a 13-year-old and doing very, very well."
478,0.01213803,Amy’s kids haven’t seen their father’s face in many months.,,495,0.29623758,"This is the home of Abraham Lincoln, Frederick Douglass, Amelia Earhart, Harriet Tubman, the Wright Brothers, Neil Armstrong, and so many more."
332,0.01213751,"I ask you to pass Senator John Barrasso’s highway bill to invest in new roads, bridges, and tunnels all across our land.",,355,0.29548997,"Rocky left behind a devoted family, including his brothers, who loved him more than anything else in the world."
182,0.01156739,Charles is one of the last surviving Tuskegee Airmen — the first black fighter pilots — and he also happens to be Iain’s great-grandfather.,,343,0.29405288,"If the city had honored ICE’s detainer request, his victim would still be alive today."
134,0.01140132,"Now we want to rebuild our country, and that’s exactly what we’re doing.",,281,0.29295113,We are coordinating with the Chinese government and working closely together on the coronavirus outbreak in China.
91,0.01110607,Tony.,,116,0.29105033,We did our job.
177,0.01110413,"He aspires to go to the Air Force Academy, and then he has his eye on the Space Force.",,441,0.28841642,"That night, he made the ultimate sacrifice for our country."
172,0.00989653,And what he wants so badly — 13 years old — Iain Lanphier.,,433,0.28675762,"Every day, America’s men and women in uniform demonstrate the infinite depth of love that dwells in the human heart."
252,0.00968693,"These proposals would raid the Medicare benefits of our seniors and that our seniors depend on, while acting as a powerful lure for illegal immigration.",,403,0.28568034,We don’t muzzle preachers and pastors.
430,0.00965582,"Carl and Marsha, America’s warriors never forgot Kayla — and neither will we.",,267,0.27913809,"And working together, Congress can reduce drug prices substantially from current levels."
286,0.00957464,Almost every American family knows the pain when a loved one is diagnosed with a serious illness.,,339,0.2780642,"Tragically, there are many cities in America where radical politicians have chosen to provide sanctuary for these criminal illegal aliens."
238,0.00820949,And we will always protect your Medicare and we will always protect your Social Security.,,408,0.27752231,"In reaffirming our heritage as a free nation, we must remember that America has always been a frontier nation."
402,0.00809032,We don’t ban symbols of faith.,,293,0.27683422,I will now ask the First Lady of the United States to present you with the honor.
209,0.00775716,Janiyah and Stephanie are in the Gallery.,,134,0.27640162,"Now we want to rebuild our country, and that’s exactly what we’re doing."
421,0.0076209,"She once wrote, “Some people find God in church.",,332,0.27533726,"I ask you to pass Senator John Barrasso’s highway bill to invest in new roads, bridges, and tunnels all across our land."
505,0.00633455,We are the pathfinders.,,478,0.27229436,Amy’s kids haven’t seen their father’s face in many months.
184,0.00628628,Incredible story.,,190,0.27094963,"General McGee, our nation salutes you."
419,0.00609748,We are joined this evening by Carl and Marsha Mueller.,,196,0.27080635,"The people are the heart of our country, their dreams are the soul of our country, and their love is what powers and sustains our country."
473,0.00593148,We are working to finally end America’s longest war and bring our troops back home.,,294,0.27072564,Please.
444,0.00587479,He is looking down on you now.,,128,0.26665519,Our strategy has worked.
73,0.00536603,This is a record.,,206,0.26485766,"Janiyah’s mom, Stephanie, is a single parent."
22,0.00536278,Our pride is restored.,,453,0.26408606,Was actively planning new attacks when we hit him very hard.
241,0.00514877,The American patient should never be blindsided by medical bills.,,360,0.26376549,"Jody our hearts weep for your loss, and we will not rest until you have justice."
203,0.00514368,"One of those students is Janiyah Davis, a fourth grader from Philadelphia.",,87,0.2630055,He was homeless.
204,0.00513497,Janiyah.,,253,0.26274019,That is what is happening in California and other states.
214,0.00493033,"I can proudly announce tonight that an Opportunity Scholarship has become available, it’s going to you, and you will soon be heading to the school of your choice.",,19,0.26264504,Our borders are secure.
456,0.00487913,Our message to the terrorists is clear: You will never escape American justice.,,22,0.26232679,Our pride is restored.
15,0.00482778,"We are moving forward at a pace that was unimaginable just a short time ago, and we are never, ever going back.",,409,0.26073653,"Now we must embrace the next frontier, America’s manifest destiny in the stars."
23,0.00467357,"And for all of these reasons, I say to the people of our great country and to the members of Congress: The state of our Union is stronger than ever before.",,393,0.25943238,"This includes two brilliant new Supreme Court justices, Neil Gorsuch and Brett Kavanaugh."
485,0.00464386,"He is here with us tonight, and we couldn’t keep him waiting any longer.",,398,0.25914497,"My administration is also defending religious liberty, and that includes the constitutional right to pray in public schools."
403,0.00447353,We don’t muzzle preachers and pastors.,,21,0.25765293,Our values are renewed.
227,0.00436765,"Tonight, I ask Congress to support our students and back my plan to offer vocational and technical education in every single high school in America.",,512,0.2571336,We look at tomorrow and see unlimited frontiers just waiting to be explored.
206,0.00431448,"Janiyah’s mom, Stephanie, is a single parent.",,172,0.25630838,And what he wants so badly — 13 years old — Iain Lanphier.
443,0.00422929,To Kelli and Gage: Chris will live in our hearts forever.,,246,0.25628104,It will save families massive amounts of money for substantially better care.
180,0.00405741,But sitting behind Iain tonight is his greatest hero of them all.,,189,0.25624435,"And earlier today, I pinned the stars on his shoulders in the Oval Office."
400,0.00399457,"In America, we don’t punish prayer.",,74,0.25425941,It is something that every country in the world is looking up to.
320,0.00397545,"Now I call on the Congress to pass the bipartisan Advancing Support for Working Families Act, extending family leave to mothers and fathers all across our nation.",,350,0.25414225,He approached a woman sitting in her car and shot her in the arm and in the chest.
471,0.00365284,It is also not our function to serve other nations as law enforcement agencies.,,464,0.25375264,We are here.
401,0.00360607,We don’t tear down crosses.,,373,0.25172763,"If you come illegally, you will now be promptly removed from our country."
115,0.00346491,"But unlike so many who came before me, I keep my promises.",,231,0.24932205,"A good life for American families also requires the most affordable, innovative, and high-quality healthcare system on Earth."
363,0.00321811,I ask Congress to pass the Justice for Victims of Sanctuary Cities Act immediately.,,382,0.24872532,"Chief Ortiz, please stand."
68,0.00320774,This is a blue-collar boom.,,444,0.24744389,He is looking down on you now.
256,0.0031471,"But if you believe that we should defend American patients and American seniors, then stand with me and pass legislation to prohibit free government healthcare for illegal aliens.",,233,0.24676918,I moved quickly to provide affordable alternatives.
296,0.00314192,(The Medal of Freedom is presented.),,258,0.24493525,"This will be a tremendous boon to our already very strongly guarded southern border where, as we speak, a long, tall, and very powerful wall is being built."
379,0.00307265,"Last year, I traveled to the border in Texas and met Chief Patrol Agent Raul Ortiz.",,335,0.24223869,A better tomorrow for all Americans also requires us to keep America safe.
239,0.00280159,Always.,,28,0.24084778,"Our agenda is relentlessly pro-worker, pro-family, pro-growth, and, most of all, pro-American."
438,0.0026595,Take care of your mother.,,333,0.24033546,"I’m also committed to ensuring that every citizen can have access to high-speed Internet, including and especially in rural America."
17,0.00252996,I am thrilled to report to you tonight that our economy is the best it has ever been.,,177,0.23704314,"He aspires to go to the Air Force Academy, and then he has his eye on the Space Force."
229,0.00251788,"To expand equal opportunity, I am also proud that we achieved record and permanent funding for our nation’s historically black colleges and universities.",,17,0.23692913,I am thrilled to report to you tonight that our economy is the best it has ever been.
466,0.00246596,It is totally up to them.,,330,0.23644981,We must also rebuild America’s infrastructure.
303,0.00237609,"Through the skill of her doctors and the prayers of her parents, little Ellie kept on winning the battle of life.",,404,0.23415109,"In America, we celebrate faith, we cherish religion, we lift our voices in prayer, and we raise our sights to the Glory of God."
190,0.00235313,"General McGee, our nation salutes you.",,272,0.23165089,AUDIENCE: H.R.3!
144,0.00229331,But Maduro’s grip on tyranny will be smashed and broken.,,487,0.23165089,AUDIENCE: USA!
304,0.00226951,"Today, Ellie is a strong, healthy two-year-old girl sitting with her amazing mother Robin in the Gallery.",,204,0.2303633,Janiyah.
39,0.00219918,"If we hadn’t reversed the failed economic policies of the previous administration, the world would not now be witnessing this great economic success.",,273,0.2303633,H.R.3!
441,0.00217501,"That night, he made the ultimate sacrifice for our country.",,274,0.2303633,H.R.3!
457,0.00204945,"If you attack our citizens, you forfeit your life.",,488,0.2303633,USA!
121,0.00188294,"It will also bring trade with Mexico and Canada to a much higher level, but also to be a much greater degree of fairness and reciprocity.",,489,0.2303633,USA!
6,0.00182268,(Applause.),,31,0.22757112,"We are advancing with unbridled optimism and lifting our citizens of every race, color, religion, and creed very, very high."
9,0.00182268,(Applause.),,284,0.22707552,"And because Congress was so good as to fund my request, new cures for childhood cancer, and we will eradicate the AIDS epidemic in America by the end of this decade."
11,0.00182268,(Applause.),,140,0.22592802,"We are supporting the hopes of Cubans, Nicaraguans, and Venezuelans to restore democracy."
16,0.00182268,(Applause.),,77,0.22546951,Consumer confidence has just reached amazing new highs.
24,0.00182268,(Applause.),,168,0.22344704,It’s called the Space Force.
27,0.00182268,(Applause.),,86,0.22248835,"After struggling with drug addiction, Tony lost his job, his house, and his family."
29,0.00182268,(Applause.),,511,0.22074279,"This nation is our canvas, and this country is our masterpiece."
33,0.00182268,(Applause.),,462,0.22034719,We can help them make a very good and short-time recovery.
35,0.00182268,(Applause.),,448,0.21963594,Thank you both very much.
37,0.00182268,(Applause.),,400,0.2186107,"In America, we don’t punish prayer."
40,0.00182268,(Applause.),,173,0.21850429,He’s an eighth grader from Arizona.
42,0.00182268,(Applause.),,460,0.2179189,"The Iranian regime must abandon its pursuit of nuclear weapons; stop spreading terror, death, and destruction; and start working for the good of its own people."
44,0.00182268,(Applause.),,300,0.21729768,"As we pray for all who are sick, we know that America is constantly achieving new medical breakthroughs."
46,0.00182268,(Applause.),,492,0.21647383,"As the world bears witness tonight, America is a land of heroes."
49,0.00182268,(Applause.),,415,0.21566264,"Recognizing that all past attempts have failed, we must be determined and creative in order to stabilize the region and give millions of young people the chance to realize a better future."
51,0.00182268,(Applause.),,171,0.21482501,"In the Gallery tonight, we have a young gentleman."
53,0.00182268,(Applause.),,90,0.21441715,"Tony, keep up the great work."
55,0.00182268,(Applause.),,91,0.21359203,Tony.
57,0.00182268,(Applause.),,148,0.21175711,"Mr. President, please take this message back to your homeland."
60,0.00182268,(Applause.),,184,0.21175631,Incredible story.
63,0.00182268,(Applause.),,485,0.21115705,"He is here with us tonight, and we couldn’t keep him waiting any longer."
65,0.00182268,(Applause.),,307,0.20888988,Ellie reminds us that every child is a miracle of life.
67,0.00182268,(Applause.),,484,0.20848068,I am thrilled to inform you that your husband is back from deployment.
69,0.00182268,(Applause.),,289,0.20834305,"Rush Limbaugh, thank you for your decades of tireless devotion to our country."
71,0.00182268,(Applause.),,151,0.20787532,Great honor.
76,0.00182268,(Applause.),,304,0.2071875,"Today, Ellie is a strong, healthy two-year-old girl sitting with her amazing mother Robin in the Gallery."
80,0.00182268,(Applause.),,83,0.20675415,This is the first time that these deserving communities have seen anything like this.
82,0.00182268,(Applause.),,145,0.20373219,"Here this evening is a very brave man who carries with him the hopes, dreams, and aspirations of all Venezuelans."
92,0.00182268,(Applause.),,510,0.20319976,"And here, on this land, on this soil, on this continent, the most incredible dreams come true."
97,0.00182268,(Applause.),,402,0.20315242,We don’t ban symbols of faith.
99,0.00182268,(Applause.),,309,0.19942032,It’s an incredible thing.
101,0.00182268,(Applause.),,438,0.19790152,Take care of your mother.
105,0.00182268,(Applause.),,136,0.19673469,"As we restore — (applause) — American leadership throughout the world, we are once again standing up for freedom in our hemisphere."
107,0.00182268,(Applause.),,406,0.1966615,"So long as I am President, I will always protect your Second Amendment right to keep and bear arms."
109,0.00182268,(Applause.),,68,0.19631902,This is a blue-collar boom.
111,0.00182268,(Applause.),,170,0.19618479,Very important.
117,0.00182268,(Applause.),,502,0.1940163,This is our glorious and magnificent inheritance.
120,0.00182268,(Applause.),,303,0.19381805,"Through the skill of her doctors and the prayers of her parents, little Ellie kept on winning the battle of life."
124,0.00182268,(Applause.),,199,0.19307489,The next step forward in building an inclusive society is making sure that every young American gets a great education and the opportunity to achieve the American Dream.
126,0.00182268,(Applause.),,520,0.1917734,God Bless You.
130,0.00182268,(Applause.),,175,0.19078027,Iain has always dreamed of going to space.
137,0.00182268,(Applause.),,465,0.19072564,Let’s see which road they choose.
139,0.00182268,(Applause.),,479,0.19004051,"Amy, your family’s sacrifice makes it possible for all of our families to live in safety and in peace, and we want to thank you."
142,0.00182268,(Applause.),,213,0.18979086,"But, Janiyah, I have some good news for you, because I am pleased to inform you that your long wait is over."
